id,path,language,logical_loc,role,public_interface,target_go_command,status,notes
P112,scripts/verify_memory_budgets_ci_tests.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P113,scripts/verify_memory_budgets_leak_slope_ci.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P114,scripts/verify_memory_budgets_leak_slope_helpers.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P115,scripts/verify_memory_budgets_leak_slope_long_window.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P116,scripts/verify_memory_budgets_leak_slope_long_window_tests.py,python,0,verifier,,cmd/verify-memory-budgets,migration-required,Bootstrap inventory - Python verifier
P117,scripts/verify_memory_lab_artifact.py,python,0,verifier,verify-memory-lab-artifacts,cmd/verify-memory-lab,migration-required,Bootstrap inventory - Python verifier
P118,scripts/verify_memory_lab_artifact_tests.py,python,0,verifier,,cmd/verify-memory-lab,migration-required,Bootstrap inventory - Python verifier
P119,scripts/verify_memory_lab_config.py,python,0,verifier,verify-memory-lab-config,cmd/verify-memory-lab,migration-required,Bootstrap inventory - Python verifier
P120,scripts/verify_memory_matrix_workflow_shape.py,python,0,verifier,,cmd/verify-memory-matrix,migration-required,Bootstrap inventory - Python verifier
P121,scripts/verify_memory_ownership_inventory.py,python,0,verifier,,cmd/verify-memory-ownership,migration-required,Bootstrap inventory - Python verifier
P122,scripts/verify_no_doconly_regression_tests.py,python,0,verifier,,cmd/verify-no-doconly,migration-required,Bootstrap inventory - Python verifier
P123,scripts/verify_opkg_package.py,python,0,verifier,verify-opkg-package,cmd/verify-opkg,migration-required,Bootstrap inventory - Python verifier
P124,scripts/verify_repo_local_memory.py,python,0,verifier,,cmd/verify-repo-memory,migration-required,Bootstrap inventory - Python verifier
P125,scripts/verify_repo_local_memory_fixtures.py,python,0,verifier,,cmd/verify-repo-memory,migration-required,Bootstrap inventory - Python verifier
P126,scripts/verify_shell_containment.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P127,scripts/verify_shell_containment/__init__.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P128,scripts/verify_shell_containment/cli.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P129,scripts/verify_shell_containment/loader.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P130,scripts/verify_shell_containment/model.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P131,scripts/verify_shell_containment/rules.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P132,scripts/verify_shell_containment/selftest.py,python,0,verifier,,cmd/verify-shell-containment,migration-required,Bootstrap inventory - Python verifier
P133,scripts/verify_state_transition_register.py,python,0,verifier,,cmd/verify-state-transition,migration-required,Bootstrap inventory - Python verifier
P134,scripts/verify_tovarisch_idle_heartbeat_smoke_workflow.py,python,0,verifier,,cmd/verify-idle-heartbeat,migration-required,Bootstrap inventory - Python verifier
P135,scripts/verify_tovarisch_status_contract.py,python,0,verifier,verify-status-contract,cmd/verify-status-contract,migration-required,Bootstrap inventory - Python verifier
P136,scripts/verify_tovarisch_status_contract_test.py,python,0,verifier,,cmd/verify-status-contract,migration-required,Bootstrap inventory - Python verifier
P137,scripts/verify_uvb76_artifact_secret_hygiene.py,python,0,verifier,hulk-uvb76-artifact-secret-gate,cmd/uvb76-secret-hygiene,migration-required,Bootstrap inventory - Python verifier
P138,scripts/verify_uvb76_capture_helpers.py,python,0,verifier,,cmd/uvb76-capture-helpers,migration-required,Bootstrap inventory - Python verifier
P139,scripts/verify_uvb76_capture_network_diag_test.py,python,0,verifier,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - Python verifier
P140,scripts/verify_uvb76_capture_packet_save_test.py,python,0,verifier,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - Python verifier
P141,scripts/verify_uvb76_capture_row_normalization_test.py,python,0,verifier,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - Python verifier
P142,scripts/verify_uvb76_capture_state_contracts.py,python,0,verifier,hulk-uvb76-capture-gate,cmd/uvb76-capture-state,migration-required,Bootstrap inventory - Python verifier
P143,scripts/verify_uvb76_capture_status_test.py,python,0,verifier,,cmd/uvb76-capture-netns-lab,migration-required,Bootstrap inventory - Python verifier
P144,scripts/verify_uvb76_latency_series_contracts.py,python,0,verifier,hulk-uvb76-latency-gate,cmd/uvb76-latency,migration-required,Bootstrap inventory - Python verifier
P145,scripts/verify_uvb76_memory_attribution_analysis.py,python,0,verifier,,cmd/uvb76-memory,migration-required,Bootstrap inventory - Python verifier
P146,scripts/verify_uvb76_memory_attribution_artifacts.py,python,0,verifier,verify-uvb76-memory-attribution,cmd/uvb76-memory,migration-required,Bootstrap inventory - Python verifier
P147,scripts/verify_uvb76_memory_attribution_artifacts_selftest.py,python,0,verifier,,cmd/uvb76-memory,migration-required,Bootstrap inventory - Python verifier
P148,scripts/verify_uvb76_reachability_contracts.py,python,0,verifier,hulk-uvb76-reachability-gate,cmd/uvb76-reachability,migration-required,Bootstrap inventory - Python verifier
P149,scripts/verify_uvb76_reachability_contracts_selftest.py,python,0,verifier,,cmd/uvb76-reachability,migration-required,Bootstrap inventory - Python verifier
P150,scripts/verify_uvb76_runtime_contracts.py,python,0,verifier,hulk-uvb76-gate,cmd/uvb76-runtime,migration-required,Bootstrap inventory - Python verifier
P151,scripts/verify_uvb76_runtime_contracts_selftest.py,python,0,verifier,,cmd/uvb76-runtime,migration-required,Bootstrap inventory - Python verifier
P152,scripts/verify_wg_netlink_lab_artifact.py,python,0,verifier,,cmd/verify-wg-netlink,migration-required,Bootstrap inventory - Python verifier
P153,scripts/verify_workflow_release_safety.py,python,0,verifier,,cmd/verify-release,migration-required,Bootstrap inventory - Python verifier
P154,scripts/verify_workflow_release_safety_fixtures.py,python,0,verifier,,cmd/verify-release,migration-required,Bootstrap inventory - Python verifier
P155,scripts/verify_total_parsers.py,python,0,verifier,,cmd/verify-total-parsers,migration-required,Bootstrap inventory - Python verifier
# === MISSING SHELL SCRIPTS ===
S081,scripts/lab_bgp_bfd_netns.sh,shell,200,lab-orchestration,lab-bgp-bfd,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - missing from initial inventory
S082,scripts/lab_bgp_bfd_netns_diag.sh,shell,90,lab-orchestration,,cmd/bgp-bfd-netns-lab,migration-required,Bootstrap inventory - missing from initial inventory
# === TEST FILES (Python - migration-required) ===
T001,tests/test_tovarisch_status_rss_canary_cli.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T002,tests/test_tovarisch_status_rss_canary_http.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T003,tests/test_tovarisch_status_rss_canary_memory.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T004,tests/test_tovarisch_status_rss_canary_output.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T005,tests/test_tovarisch_status_rss_canary_run.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T006,tests/test_tovarisch_status_rss_canary_run_contract.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
T007,tests/test_tovarisch_test_base_fingerprint.py,python,0,test,,cmd/test-fingerprint,migration-required,Bootstrap inventory - Python test
T008,tests/test_verify_memory_ownership_inventory.py,python,0,test,,cmd/verify-memory-ownership,migration-required,Bootstrap inventory - Python test
T009,tests/test_verify_no_doconly_regression_tests.py,python,0,test,,cmd/verify-no-doconly,migration-required,Bootstrap inventory - Python test
T010,tests/test_verify_state_transition_register.py,python,0,test,,cmd/verify-state-transition,migration-required,Bootstrap inventory - Python test
T011,tests/tovarisch_status_rss_canary_test_support.py,python,0,test,,cmd/rss-canary,migration-required,Bootstrap inventory - Python test
# === PACKAGING SCRIPTS ===
PKG001,packaging/debian/postinst,shell,0,packaging,,cmd/pkg-install,migration-required,Bootstrap inventory - Debian postinst
PKG002,packaging/debian/postrm,shell,0,packaging,,cmd/pkg-remove,migration-required,Bootstrap inventory - Debian postrm
PKG003,packaging/debian/prerm,shell,0,packaging,,cmd/pkg-remove,migration-required,Bootstrap inventory - Debian prerm
PKG004,packaging/entware/S76uvb76,shell,0,packaging,,cmd/pkg-install,migration-required,Bootstrap inventory - Entware init script
# === UVB76 SCRIPTS ===
U001,uvb76/scripts/verify_uvb76_vet.sh,shell,0,verifier,,cmd/verify-uvb76,migration-required,Bootstrap inventory - thin wrapper
U002,uvb76/scripts/verify_web_embed.sh,shell,0,verifier,uvb76-verify-embed,cmd/verify-web-embed,migration-required,Bootstrap inventory - thin wrapper
TM001,scripts/build_tovarisch_canary_image.sh,shell,72,ci-glue,build-tovarisch-canary,cmd/build-tovarisch-canary,migration-required,Bootstrap inventory - canary image build with provenance labels
